,publishing_day,publishing_hour,days_to_trending,title_length,category_name
2650,Tue,8,776,26,Film & Animation
2651,Thu,9,4,35,Entertainment
2652,Wed,15,5,35,Science & Technology
2653,Thu,5,4,54,Entertainment
2654,Wed,14,5,59,Film & Animation
2655,Wed,17,5,34,Science & Technology
2656,Tue,17,6,69,Entertainment
2657,Wed,18,5,80,Comedy
2658,Wed,3,5,27,Entertainment
2659,Fri,16,3,33,Music
2660,Wed,17,5,95,Entertainment
2661,Wed,17,5,33,Science & Technology
2662,Tue,22,6,77,Entertainment
2663,Wed,8,5,73,Music
2664,Wed,14,5,29,Science & Technology
2665,Thu,2,4,50,Entertainment
2666,Tue,14,6,40,Music
2667,Wed,18,5,49,Howto & Style
2668,Wed,2,5,39,News & Politics
2669,Tue,22,6,72,Music
2670,Wed,15,5,31,Entertainment
2671,Thu,1,4,66,Sports
2672,Wed,19,5,41,Comedy
2673,Wed,0,5,63,Music
2674,Wed,1,5,85,Entertainment
2675,Wed,14,5,59,Entertainment
2676,Tue,18,6,33,Film & Animation
2677,Tue,16,6,50,Film & Animation
2678,Tue,19,6,53,Entertainment
2679,Tue,16,6,49,Entertainment
2680,Tue,12,6,66,News & Politics
2681,Wed,3,5,18,Film & Animation
2682,Thu,16,4,65,Howto & Style
2683,Wed,2,5,56,Gaming
2684,Wed,8,5,55,Entertainment
2685,Wed,4,5,53,Howto & Style
2686,Wed,14,5,64,Entertainment
2687,Wed,18,5,31,Howto & Style
2688,Tue,15,6,74,Music
2689,Wed,0,5,50,Entertainment
2690,Tue,18,6,80,Comedy
2691,Tue,21,6,56,Entertainment
2692,Wed,6,5,57,Entertainment
2693,Tue,20,6,16,People & Blogs
2694,Tue,16,6,57,Education
2695,Wed,15,5,32,Travel & Events
2696,Tue,16,6,67,Howto & Style
2697,Wed,8,5,43,People & Blogs
2698,Wed,9,5,16,Sports
2699,Tue,17,6,89,Music
2700,Tue,18,6,74,Music
2701,Mon,20,7,69,News & Politics
2702,Tue,16,6,77,Howto & Style
2703,Tue,19,6,34,Science & Technology
2704,Tue,13,6,26,People & Blogs
2705,Tue,2,6,6,People & Blogs
2706,Tue,17,6,34,Entertainment
2707,Tue,15,6,89,Music
2708,Tue,19,6,33,Music
2709,Tue,19,6,34,People & Blogs
2710,Mon,21,7,30,Comedy
2711,Tue,23,6,44,Howto & Style
2713,Tue,23,6,28,Entertainment
2714,Tue,15,6,94,Howto & Style
2715,Tue,15,6,25,Education
2716,Tue,17,6,43,Entertainment
2717,Tue,20,6,71,Music
2718,Mon,18,7,80,Comedy
2719,Tue,19,6,44,Entertainment
2720,Mon,19,7,43,Science & Technology
2721,Tue,19,6,27,Entertainment
2722,Mon,13,7,55,Sports
2723,Wed,1,5,37,People & Blogs
2724,Tue,18,6,20,Comedy
2725,Mon,19,7,90,Music
2726,Mon,1,7,37,Film & Animation
2727,Tue,22,6,64,Music
2729,Wed,15,5,19,Film & Animation
2730,Tue,15,41,45,Music
2731,Mon,4,7,83,Music
2732,Mon,16,7,81,Music
2733,Wed,13,5,41,Howto & Style
2734,Mon,6,7,39,Comedy
2735,Tue,14,6,90,Entertainment
2736,Mon,17,7,27,Comedy
2737,Mon,16,7,61,Music
2738,Tue,15,6,97,Entertainment
2739,Mon,4,7,48,Sports
2740,Mon,17,7,47,Entertainment
2741,Mon,16,7,32,Music
2742,Mon,11,7,32,Entertainment
2743,Wed,11,5,64,News & Politics
2744,Mon,13,7,47,Sports
2745,Mon,16,7,47,Education
2746,Wed,1,5,28,Music
2747,Wed,19,5,54,Science & Technology
2748,Mon,16,7,73,News & Politics
2749,Wed,8,12,66,People & Blogs
2750,Tue,0,3450,32,Music
2751,Mon,14,7,52,Howto & Style
2752,Wed,10,5,64,Pets & Animals
2753,Mon,13,7,62,Entertainment
2754,Sat,15,9,37,Film & Animation
2755,Tue,12,1721,57,News & Politics
2756,Mon,23,7,35,People & Blogs
2757,Mon,15,7,31,Education
2758,Mon,14,7,68,People & Blogs
2759,Tue,20,6,65,News & Politics
2760,Tue,17,6,53,News & Politics
2761,Mon,8,2114,31,People & Blogs
2762,Mon,15,7,46,Entertainment
2763,Sun,7,8,23,Entertainment
2764,Mon,4,7,88,Music
2765,Tue,17,6,95,Entertainment
2766,Sun,21,8,26,People & Blogs
2767,Mon,15,7,65,Howto & Style
2768,Sun,17,8,81,Film & Animation
2769,Tue,16,6,52,News & Politics
2770,Sat,19,9,10,Entertainment
2771,Tue,6,6,11,Comedy
2772,Thu,19,382,29,Entertainment
2773,Wed,2,5,56,Sports
2774,Sun,23,8,32,People & Blogs
2775,Thu,12,3399,32,Music
2777,Sat,19,9,57,Entertainment
2778,Tue,16,6,25,People & Blogs
2779,Mon,5,7,46,Music
2780,Tue,19,6,95,News & Politics
2781,Sat,17,9,74,Entertainment
2782,Sun,19,8,64,Howto & Style
2783,Sun,20,8,33,People & Blogs
2784,Sun,17,8,40,Music
2785,Sat,16,9,33,Music
2786,Tue,21,6,67,Howto & Style
2787,Thu,23,543,47,Entertainment
2788,Mon,1,7,73,Music
2789,Tue,0,6,58,Sports
2790,Sun,15,8,77,News & Politics
2791,Mon,16,7,47,Film & Animation
2792,Sun,12,8,29,Travel & Events
2793,Wed,5,334,37,Entertainment
2794,Mon,5,7,63,Entertainment
2795,Mon,10,7,69,People & Blogs
2796,Mon,20,7,31,Autos & Vehicles
2797,Mon,23,798,56,Film & Animation
2798,Sat,21,9,55,Entertainment
2799,Mon,14,14,66,People & Blogs
2800,Mon,14,1,45,News & Politics
2801,Mon,14,1,51,Music
2802,Mon,17,1,24,Comedy
2803,Mon,3,1,36,Entertainment
2804,Mon,17,1,77,People & Blogs
2805,Mon,17,1,61,Autos & Vehicles
2806,Mon,5,1,50,Sports
2807,Mon,15,1,44,Music
2808,Mon,16,1,48,Entertainment
2809,Mon,13,1,83,News & Politics
2810,Mon,18,1,54,News & Politics
2811,Mon,16,1,31,Education
2812,Sun,15,2,22,Science & Technology
2813,Mon,19,1,58,News & Politics
2814,Mon,18,1,21,Comedy
2815,Sun,17,2,48,Comedy
2816,Mon,16,1,57,Comedy
2817,Mon,17,1,36,Entertainment
2818,Mon,11,1,37,News & Politics
2819,Sun,22,2,58,Entertainment
2820,Mon,17,1,33,Science & Technology
2821,Sun,13,2,74,News & Politics
2822,Mon,15,1,59,Howto & Style
2823,Mon,14,1,31,Entertainment
2824,Sun,3,2,56,Music
2825,Sat,15,3,36,Comedy
2826,Mon,14,1,31,Howto & Style
2827,Mon,21,1,39,Comedy
2828,Sun,16,2,50,Science & Technology
2829,Sat,19,3,30,Comedy
2830,Sun,21,2,74,Entertainment
2831,Sat,20,3,55,Comedy
2832,Sun,22,2,47,Howto & Style
2833,Sat,22,3,27,People & Blogs
2834,Sat,18,3,48,Howto & Style
2835,Sat,19,3,56,Howto & Style
2836,Mon,11,1,76,Sports
2837,Mon,16,1,66,Howto & Style
2838,Sun,3,2,40,Entertainment
2839,Sat,19,3,27,Comedy
2840,Sat,18,3,96,Sports
2841,Sat,17,3,47,Comedy
2842,Mon,3,1,80,Entertainment
2843,Sun,10,2,21,News & Politics
2844,Fri,19,4,85,Comedy
2845,Sat,18,3,79,Entertainment
2846,Sun,16,2,67,Entertainment
2847,Sat,18,3,46,Howto & Style
2848,Sat,21,3,41,Howto & Style
2849,Fri,16,4,32,Music
2850,Sat,21,3,59,Comedy
2851,Sat,15,3,55,Entertainment
2852,Sat,15,3,56,Entertainment
2853,Sat,17,3,61,Howto & Style
2854,Sat,18,3,19,People & Blogs
2855,Sat,20,3,48,Howto & Style
2856,Fri,18,4,37,Autos & Vehicles
2857,Fri,11,4,71,Howto & Style
2858,Fri,9,4,53,Music
2859,Fri,21,4,21,Howto & Style
2860,Sat,16,3,50,Howto & Style
2861,Sat,2,3,77,Film & Animation
2862,Fri,18,4,80,Comedy
2863,Sat,22,3,86,Education
2864,Sun,16,2,42,News & Politics
2865,Thu,20,5,34,Music
2866,Fri,11,4,43,Comedy
2867,Fri,5,4,35,Comedy
2868,Fri,20,4,35,Sports
2869,Tue,4,2464,19,Education
2870,Fri,16,4,38,Comedy
2871,Thu,11,5,91,Music
2872,Thu,13,5,64,Pets & Animals
2873,Thu,21,5,57,Comedy
2874,Thu,12,5,25,Education
2875,Thu,16,5,65,Howto & Style
2876,Thu,13,26,36,Science & Technology
2877,Wed,15,6,50,Entertainment
2878,Fri,0,4,46,Music
2879,Wed,16,6,27,Music
2880,Thu,2,5,27,Science & Technology
2881,Wed,20,6,22,Science & Technology
2882,Thu,0,5,26,Entertainment
2883,Fri,16,4,33,Music
2884,Fri,15,4,49,People & Blogs
2885,Thu,9,5,35,Entertainment
2886,Thu,5,5,54,Entertainment
2887,Fri,12,4,40,People & Blogs
2888,Tue,8,777,26,Film & Animation
2889,Fri,11,4,59,Science & Technology
2890,Tue,17,7,69,Entertainment
2891,Wed,3,6,27,Entertainment
2892,Wed,16,6,98,Entertainment
2893,Wed,18,6,80,Comedy
2894,Wed,17,6,34,Science & Technology
2895,Wed,17,6,95,Entertainment
2896,Tue,22,7,77,Entertainment
2897,Wed,8,6,73,Music
2898,Thu,2,5,50,Entertainment
2899,Tue,14,7,40,Music
2900,Wed,14,6,59,Film & Animation
2901,Tue,22,7,72,Music
2902,Wed,15,6,31,Entertainment
2903,Wed,18,6,49,Howto & Style
2904,Wed,0,6,63,Music
2905,Wed,14,6,59,Entertainment
2906,Wed,17,6,33,Science & Technology
2907,Thu,1,5,66,Sports
2908,Wed,14,6,29,Science & Technology
2909,Wed,1,6,85,Entertainment
2910,Tue,18,7,33,Film & Animation
2911,Tue,16,7,50,Film & Animation
2912,Tue,19,7,53,Entertainment
2913,Wed,18,6,81,Music
2914,Tue,16,7,49,Entertainment
2915,Wed,3,6,18,Film & Animation
2916,Tue,12,7,66,News & Politics
2917,Wed,4,6,53,Howto & Style
2918,Wed,19,6,41,Comedy
2919,Wed,18,6,31,Howto & Style
2920,Wed,8,6,55,Entertainment
2921,Wed,2,6,39,News & Politics
2922,Tue,18,7,80,Comedy
2923,Wed,0,6,50,Entertainment
2924,Tue,21,7,56,Entertainment
2925,Tue,20,7,16,People & Blogs
2926,Wed,2,6,56,Gaming
2927,Tue,16,7,57,Education
2928,Tue,16,7,67,Howto & Style
2929,Wed,8,6,43,People & Blogs
2930,Wed,22,6,24,Howto & Style
2931,Mon,20,8,69,News & Politics
2932,Tue,17,7,89,Music
2933,Tue,16,7,77,Howto & Style
2934,Tue,2,7,6,People & Blogs
2935,Tue,18,7,74,Music
2936,Tue,19,7,34,Science & Technology
2937,Tue,13,7,26,People & Blogs
2938,Tue,17,7,34,Entertainment
2939,Mon,20,8,61,Howto & Style
2940,Tue,15,7,89,Music
2941,Wed,9,6,16,Sports
2942,Tue,23,7,44,Howto & Style
2943,Tue,23,7,28,Entertainment
2944,Tue,19,7,34,People & Blogs
2945,Tue,18,7,20,Comedy
2946,Tue,15,7,25,Education
2947,Wed,6,6,57,Entertainment
2948,Tue,15,7,94,Howto & Style
2949,Tue,19,7,33,Music
2950,Tue,17,7,43,Entertainment
2951,Tue,19,7,52,People & Blogs
2952,Tue,20,7,71,Music
2954,Mon,18,8,80,Comedy
2955,Wed,15,6,32,Travel & Events
2956,Tue,22,7,68,Music
2957,Mon,19,8,43,Science & Technology
2958,Wed,15,6,19,Film & Animation
2959,Tue,19,7,44,Entertainment
2960,Mon,16,8,81,Music
2961,Tue,15,42,45,Music
2962,Wed,1,6,37,People & Blogs
2963,Tue,19,7,27,Entertainment
2964,Mon,1,8,37,Film & Animation
2965,Mon,4,8,83,Music
2966,Mon,13,8,55,Sports
2967,Tue,16,7,34,Music
2968,Tue,15,7,97,Entertainment
2969,Mon,16,8,61,Music
2970,Mon,19,8,90,Music
2971,Mon,16,8,32,Music
2972,Wed,1,6,28,Music
2973,Mon,13,8,62,Entertainment
2974,Mon,13,8,47,Sports
2975,Mon,14,8,68,People & Blogs
2976,Mon,6,8,39,Comedy
2977,Mon,11,8,32,Entertainment
2978,Wed,19,6,54,Science & Technology
2979,Tue,0,3451,32,Music
2980,Tue,14,7,90,Entertainment
2981,Tue,12,1722,57,News & Politics
2982,Sat,15,10,37,Film & Animation
2983,Wed,10,6,64,Pets & Animals
2984,Tue,20,7,65,News & Politics
2985,Tue,17,7,53,News & Politics
2986,Mon,17,8,47,Entertainment
2987,Mon,8,2115,31,People & Blogs
2988,Mon,15,8,31,Education
2989,Mon,15,8,46,Entertainment
2990,Tue,17,7,95,Entertainment
2991,Mon,23,8,35,People & Blogs
2992,Sun,7,9,23,Entertainment
2993,Wed,8,13,66,People & Blogs
2994,Thu,12,3400,32,Music
2995,Tue,6,7,11,Comedy
2996,Thu,19,383,29,Entertainment
2997,Wed,2,6,56,Sports
2998,Mon,4,8,88,Music
2999,Sun,23,9,32,People & Blogs
3000,Tue,20,1,18,Comedy
3001,Tue,18,1,26,Film & Animation
3002,Tue,17,1,51,Film & Animation
3003,Tue,21,1,54,Film & Animation
3004,Tue,16,1,72,Sports
3005,Mon,23,2,26,Comedy
3006,Mon,20,2,45,Entertainment
3007,Mon,14,2,45,News & Politics
3008,Wed,2,0,53,Entertainment
3009,Tue,19,1,22,People & Blogs
3010,Tue,12,1,48,Entertainment
3011,Tue,17,1,52,Comedy
3012,Tue,19,1,79,Entertainment
3013,Tue,20,1,35,Entertainment
3014,Tue,19,1,39,Entertainment
3015,Mon,17,2,24,Comedy
3016,Tue,15,1,91,Entertainment
3017,Tue,8,1,22,Music
3018,Tue,16,1,90,Howto & Style
3019,Tue,18,1,51,People & Blogs
3020,Tue,14,1,49,Howto & Style
3021,Tue,12,1,48,Entertainment
3022,Tue,14,1,23,Science & Technology
3023,Wed,5,0,45,Comedy
3024,Mon,17,2,77,People & Blogs
3025,Tue,20,1,68,Howto & Style
3026,Mon,21,2,29,Entertainment
3027,Tue,13,1,43,Entertainment
3028,Mon,16,2,48,Entertainment
3029,Mon,18,2,54,News & Politics
3030,Tue,5,1,47,Sports
3031,Mon,14,2,51,Music
3032,Mon,19,2,58,News & Politics
3033,Tue,13,1,47,Entertainment
3034,Tue,15,1,54,Pets & Animals
3035,Mon,3,2,36,Entertainment
3036,Mon,17,2,61,Autos & Vehicles
3037,Mon,15,2,44,Music
3038,Mon,18,2,21,Comedy
3039,Tue,20,1,34,Comedy
3040,Mon,23,2,30,Entertainment
3041,Mon,13,2,83,News & Politics
3042,Mon,16,2,57,Comedy
3043,Mon,11,2,37,News & Politics
3044,Mon,16,2,31,Education
3045,Tue,18,1,71,Entertainment
3046,Sun,15,3,22,Science & Technology
3047,Tue,17,1,50,Music
3048,Tue,0,1,30,Science & Technology
3049,Mon,20,2,46,Pets & Animals
3050,Mon,18,2,54,Comedy
3051,Mon,19,2,65,Music
3052,Mon,21,2,39,Comedy
3053,Tue,20,1,12,Music
3054,Tue,14,1,52,Science & Technology
3055,Mon,17,2,36,Entertainment
3056,Mon,5,2,64,Music
3057,Mon,3,2,80,Entertainment
3058,Tue,2,1,25,Film & Animation
3059,Sun,22,3,58,Entertainment
3060,Tue,6,1,69,Entertainment
3061,Mon,22,2,57,Comedy
3062,Mon,17,2,21,Sports
3063,Tue,17,1,74,Science & Technology
3064,Mon,15,2,59,Howto & Style
3065,Tue,17,1,30,Entertainment
3066,Mon,14,2,31,Howto & Style
3067,Tue,5,1,78,Music
3068,Tue,16,1,42,Music
3069,Sun,13,3,74,News & Politics
3070,Mon,17,2,33,Science & Technology
3071,Sun,16,3,50,Science & Technology
3072,Tue,6,1,17,Entertainment
3073,Tue,16,1,49,News & Politics
3074,Mon,17,2,63,Science & Technology
3075,Sun,21,3,74,Entertainment
3076,Sun,3,3,56,Music
3077,Tue,11,1,38,Music
3078,Tue,10,1,73,News & Politics
3079,Sat,15,4,36,Comedy
3080,Mon,11,2,76,Sports
3081,Sat,19,4,30,Comedy
3082,Sun,4,3,61,News & Politics
3083,Sat,20,4,55,Comedy
3084,Sun,22,3,47,Howto & Style
3085,Sun,3,3,40,Entertainment
3086,Sat,18,4,48,Howto & Style
3087,Sun,10,3,21,News & Politics
3088,Sat,22,4,27,People & Blogs
3089,Sat,19,4,56,Howto & Style
3090,Mon,16,2,66,Howto & Style
3091,Sat,19,4,27,Comedy
3092,Sun,16,3,67,Entertainment
3093,Sat,21,4,58,Sports
3094,Fri,19,5,85,Comedy
3095,Sat,17,4,47,Comedy
3096,Sat,21,4,41,Howto & Style
3097,Sat,18,4,79,Entertainment
3098,Sun,15,3,21,Comedy
3099,Sat,18,4,46,Howto & Style
3100,Fri,16,5,32,Music
3101,Sat,17,4,61,Howto & Style
3102,Sun,19,3,74,People & Blogs
3103,Sat,21,4,59,Comedy
3104,Sat,15,4,55,Entertainment
3105,Sat,15,4,56,Entertainment
3106,Sun,1,3,59,Science & Technology
3107,Fri,18,5,80,Comedy
3108,Sat,18,4,61,Music
3109,Sat,22,4,86,Education
3110,Fri,18,5,37,Autos & Vehicles
3111,Sat,16,4,50,Howto & Style
3112,Fri,9,5,53,Music
3113,Sat,20,4,48,Howto & Style
3114,Fri,21,5,21,Howto & Style
3115,Sun,16,3,42,News & Politics
3116,Fri,11,5,71,Howto & Style
3117,Sat,2,4,77,Film & Animation
3118,Sat,22,2076,15,Entertainment
3119,Sun,6,10,26,Science & Technology
3120,Fri,20,5,35,Sports
3121,Thu,20,6,34,Music
3122,Tue,4,2465,19,Education
3123,Fri,11,5,43,Comedy
3124,Fri,16,5,38,Comedy
3125,Thu,11,6,91,Music
3126,Fri,18,5,49,Science & Technology
3127,Thu,12,6,25,Education
3128,Thu,16,6,65,Howto & Style
3129,Fri,12,5,40,People & Blogs
3130,Fri,0,5,46,Music
3131,Wed,15,7,50,Entertainment
3132,Fri,15,5,49,People & Blogs
3133,Thu,13,27,36,Science & Technology
3134,Fri,16,5,33,Music
3135,Fri,0,5,27,Music
3136,Wed,16,7,27,Music
3137,Thu,2,6,27,Science & Technology
3138,Wed,20,7,22,Science & Technology
3139,Thu,9,6,35,Entertainment
3140,Tue,8,778,26,Film & Animation
3141,Thu,5,6,54,Entertainment
3142,Wed,3,7,27,Entertainment
3143,Wed,17,7,34,Science & Technology
3144,Tue,22,8,77,Entertainment
3145,Wed,16,7,98,Entertainment
3146,Wed,18,7,80,Comedy
3147,Tue,12,15,26,Science & Technology
3148,Fri,11,5,59,Science & Technology
3149,Wed,17,7,95,Entertainment
3150,Tue,14,8,40,Music
3151,Tue,22,8,72,Music
3152,Wed,8,7,73,Music
3153,Wed,14,7,59,Film & Animation
3154,Wed,18,7,49,Howto & Style
3155,Wed,0,7,63,Music
3156,Thu,2,6,50,Entertainment
3157,Wed,14,7,59,Entertainment
3158,Wed,15,7,31,Entertainment
3159,Thu,1,6,66,Sports
3160,Wed,17,7,33,Science & Technology
3161,Tue,19,8,53,Entertainment
3162,Tue,16,8,49,Entertainment
3163,Wed,19,7,41,Comedy
3164,Wed,3,7,18,Film & Animation
3165,Wed,22,7,24,Howto & Style
3166,Wed,4,7,53,Howto & Style
3167,Wed,0,7,50,Entertainment
3168,Tue,21,8,56,Entertainment
3169,Wed,2,7,39,News & Politics
3170,Wed,18,7,81,Music
3171,Tue,16,8,67,Howto & Style
3172,Tue,16,8,57,Education
3173,Wed,8,7,55,Entertainment
3174,Wed,18,7,31,Howto & Style
3175,Tue,12,8,66,News & Politics
3176,Fri,16,5,43,Autos & Vehicles
3177,Wed,17,7,99,Music
3178,Tue,17,8,89,Music
3179,Mon,20,9,69,News & Politics
3180,Tue,18,8,74,Music
3181,Mon,20,9,61,Howto & Style
3182,Tue,17,8,34,Entertainment
3183,Wed,8,7,43,People & Blogs
3184,Wed,2,7,56,Gaming
3185,Tue,15,8,89,Music
3186,Wed,9,7,16,Sports
3187,Tue,23,8,44,Howto & Style
3188,Tue,19,8,34,People & Blogs
3189,Tue,23,8,28,Entertainment
3190,Tue,20,8,71,Music
3191,Tue,17,8,43,Entertainment
3192,Wed,6,7,57,Entertainment
3193,Tue,2,8,6,People & Blogs
3194,Tue,16,8,77,Howto & Style
3196,Tue,13,8,26,People & Blogs
3197,Wed,15,7,32,Travel & Events
3198,Tue,22,8,64,Music
3199,Tue,15,8,25,Education
3200,Wed,13,1,55,Entertainment
3202,Wed,14,1,47,News & Politics
3203,Tue,21,2,38,Science & Technology
3204,Wed,12,1,44,News & Politics
3205,Wed,20,1,50,Entertainment
3206,Wed,12,1,42,Music
3207,Wed,23,1,49,People & Blogs
3208,Tue,20,2,18,Comedy
3209,Tue,21,2,54,Film & Animation
3210,Wed,11,1,41,News & Politics
3211,Wed,2,1,53,Entertainment
3212,Wed,7,1,66,Entertainment
3213,Tue,17,2,51,Film & Animation
3214,Tue,18,2,26,Film & Animation
3215,Tue,16,2,72,Sports
3216,Tue,19,2,79,Entertainment
3217,Wed,5,1,45,Comedy
3218,Thu,3,0,58,Comedy
3219,Wed,2,1,52,Sports
3220,Wed,10,1,71,Comedy
3221,Wed,0,1,64,Entertainment
3222,Tue,12,2,48,Entertainment
3223,Wed,15,1,50,Entertainment
3224,Wed,18,1,51,Entertainment
3225,Tue,17,2,52,Comedy
3226,Wed,14,1,66,Entertainment
3227,Tue,19,2,22,People & Blogs
3228,Wed,18,1,38,People & Blogs
3229,Mon,20,3,45,Entertainment
3230,Tue,20,2,68,Howto & Style
3231,Tue,8,2,22,Music
3232,Mon,23,3,26,Comedy
3233,Wed,2,1,62,People & Blogs
3234,Mon,14,3,45,News & Politics
3235,Wed,19,1,45,People & Blogs
3236,Tue,15,2,91,Entertainment
3237,Tue,18,2,51,People & Blogs
3238,Tue,23,2,67,Film & Animation
3239,Tue,20,2,35,Entertainment
3240,Wed,6,1,44,Sports
3241,Tue,18,2,38,Entertainment
3242,Tue,20,2,34,Comedy
3243,Wed,0,1,77,People & Blogs
3244,Mon,17,3,24,Comedy
3245,Tue,4,2,52,Entertainment
3246,Tue,18,2,38,Entertainment
3247,Tue,14,2,23,Science & Technology
3248,Wed,20,1,98,Entertainment
3249,Mon,18,3,54,News & Politics
3250,Tue,16,2,90,Howto & Style
3251,Tue,14,2,49,Howto & Style
3252,Tue,13,2,47,Entertainment
3253,Wed,3,1,80,Film & Animation
3254,Wed,8,1,99,Film & Animation
3255,Tue,18,2,71,Entertainment
3256,Wed,16,1,73,Howto & Style
3257,Mon,21,3,29,Entertainment
3258,Tue,19,2,39,Autos & Vehicles
3259,Tue,11,247,72,Howto & Style
3260,Mon,17,3,77,People & Blogs
3261,Mon,19,3,58,News & Politics
3262,Tue,17,2,30,Entertainment
3263,Mon,14,3,51,Music
3264,Mon,16,3,48,Entertainment
3265,Tue,17,2,72,Science & Technology
3266,Wed,5,1,80,Music
3267,Tue,5,2,47,Sports
3268,Tue,20,2,12,Music
3269,Tue,15,2,54,Pets & Animals
3270,Tue,17,2,66,Entertainment
3271,Mon,20,3,46,Pets & Animals
3272,Mon,18,3,21,Comedy
3273,Mon,15,3,44,Music
3274,Wed,3,1,30,Howto & Style
3275,Mon,17,3,61,Autos & Vehicles
3276,Wed,0,1,37,Comedy
3277,Mon,23,3,30,Entertainment
3278,Mon,16,3,31,Education
3279,Tue,6,2,69,Entertainment
3280,Wed,0,1,62,News & Politics
3281,Tue,17,2,50,Music
3282,Mon,16,3,57,Comedy
3283,Tue,0,2,30,Science & Technology
3284,Mon,19,3,65,Music
3285,Mon,17,3,36,Entertainment
3286,Mon,3,3,36,Entertainment
3287,Tue,14,2,52,Science & Technology
3288,Wed,14,1,45,Entertainment
3289,Mon,21,3,39,Comedy
3290,Mon,18,3,54,Comedy
3291,Sun,15,4,22,Science & Technology
3292,Mon,5,3,64,Music
3293,Tue,16,2,49,News & Politics
3294,Tue,6,2,17,Entertainment
3295,Mon,15,3,59,Howto & Style
3296,Tue,19,2,47,News & Politics
3297,Tue,19,2,63,Music
3298,Tue,2,2,25,Film & Animation
3299,Tue,11,2,38,Music
3300,Mon,22,3,57,Comedy
3301,Mon,17,3,21,Sports
3302,Tue,14,2,51,Music
3303,Mon,17,3,33,Science & Technology
3304,Mon,3,3,80,Entertainment
3305,Tue,16,2,42,Music
3306,Sun,13,4,74,News & Politics
3307,Tue,5,2,78,Music
3308,Mon,18,3,27,Comedy
3309,Sun,21,4,74,Entertainment
3310,Sun,3,4,56,Music
3311,Mon,14,3,31,Howto & Style
3312,Sat,15,5,36,Comedy
3314,Sun,4,4,61,News & Politics
3315,Sun,16,4,50,Science & Technology
3316,Sat,19,5,30,Comedy
3317,Tue,10,2,73,News & Politics
3318,Mon,11,3,76,Sports
3319,Mon,17,3,63,Science & Technology
3320,Sun,22,4,47,Howto & Style
3321,Sat,20,5,55,Comedy
3322,Sun,10,4,21,News & Politics
3323,Sun,3,4,40,Entertainment
3324,Sat,22,5,27,People & Blogs
3325,Sat,18,5,48,Howto & Style
3326,Sat,21,5,58,Sports
3327,Sat,19,5,56,Howto & Style
3328,Sun,15,4,21,Comedy
3329,Sat,19,5,27,Comedy
3330,Sat,17,5,47,Comedy
3331,Mon,17,3,49,Howto & Style
3332,Sat,21,5,41,Howto & Style
3333,Fri,19,6,85,Comedy
3334,Sat,18,5,79,Entertainment
3335,Sat,18,5,46,Howto & Style
3336,Sat,21,5,59,Comedy
3337,Sat,15,5,55,Entertainment
3338,Sat,15,5,56,Entertainment
3339,Fri,16,6,32,Music
3340,Sat,17,5,61,Howto & Style
3341,Sat,22,5,86,Education
3342,Sat,18,5,61,Music
3343,Fri,18,6,80,Comedy
3344,Sun,19,4,74,People & Blogs
3345,Fri,18,6,37,Autos & Vehicles
3346,Sat,20,5,48,Howto & Style
3347,Sun,1,4,59,Science & Technology
3348,Sun,16,4,42,News & Politics
3349,Fri,9,6,53,Music
3350,Sun,22,2202,62,Gaming
3351,Sat,16,5,50,Howto & Style
3352,Fri,21,6,21,Howto & Style
3353,Sat,2,5,77,Film & Animation
3354,Mon,14,3,73,News & Politics
3355,Sat,22,2077,15,Entertainment
3356,Fri,11,6,71,Howto & Style
3357,Sun,6,11,26,Science & Technology
3358,Thu,20,7,34,Music
3359,Tue,4,2466,19,Education
3360,Fri,18,6,49,Science & Technology
3361,Fri,20,6,35,Sports
3362,Fri,16,6,38,Comedy
3363,Thu,12,7,25,Education
3364,Fri,20,6,51,News & Politics
3365,Thu,16,7,65,Howto & Style
3366,Wed,15,8,50,Entertainment
3367,Fri,0,6,46,Music
3368,Fri,12,6,40,People & Blogs
3369,Thu,16,7,64,Howto & Style
3370,Fri,15,6,49,People & Blogs
3371,Wed,16,8,27,Music
3372,Thu,13,28,36,Science & Technology
3373,Fri,0,6,27,Music
3374,Wed,20,8,22,Science & Technology
3375,Fri,16,6,33,Music
3376,Thu,2,7,27,Science & Technology
3377,Thu,5,7,54,Entertainment
3378,Thu,9,7,35,Entertainment
3379,Tue,8,779,26,Film & Animation
3380,Wed,3,8,27,Entertainment
3381,Wed,18,8,80,Comedy
3382,Wed,17,8,95,Entertainment
3383,Thu,19,7,31,Entertainment
3384,Fri,11,6,59,Science & Technology
3385,Wed,16,8,98,Entertainment
3386,Tue,12,16,26,Science & Technology
3387,Wed,17,8,34,Science & Technology
3388,Tue,22,9,77,Entertainment
3389,Wed,14,8,59,Film & Animation
3390,Fri,16,6,43,Autos & Vehicles
3391,Wed,8,8,73,Music
3392,Thu,2,7,50,Entertainment
3393,Tue,14,9,40,Music
3394,Wed,17,8,33,Science & Technology
3395,Tue,19,9,53,Entertainment
3396,Tue,22,9,72,Music
3397,Tue,16,9,49,Entertainment
3398,Wed,19,8,41,Comedy
3399,Wed,18,8,49,Howto & Style
3400,Wed,13,2,55,Entertainment
3402,Thu,14,1,38,News & Politics
3403,Wed,14,2,47,News & Politics
3404,Wed,20,2,50,Entertainment
3405,Thu,6,1,30,Entertainment
